"Smooth muscle cells, vascular smooth muscle cells, pericytes, myofibroblasts"
"Endothelial cell, activated endothelial cell, stromal cell, inflammatory endothelial cell"
"CD8+ T cell, cytotoxic T cell, T cell, activated T cell"
"CD4+ T cell, memory T cell, helper T cell, T cell"
"B cell, mature B cell, naive B cell, memory B cell"
"Endothelial cell, vascular endothelial cell, capillary endothelial cell, angiogenic endothelial cell"
"T cell, CD4+ T cell, activated T cell, helper T cell"
"Endothelial cell, vascular endothelial cell, capillary endothelial cell, angiogenic endothelial cell"
"Alveolar type II pneumocyte, lung epithelial cell, type II alveolar cell, surfactant-producing cell"
"Natural killer cell, cytotoxic T cell, CD8+ T cell, natural killer T cell"
"Macrophage, monocyte, antigen-presenting cell, myeloid cell"
"Club cell, epithelial cell, secretory cell, airway epithelial cell"
"B cell, plasma cell, antibody-secreting cell, memory B cell"
"Epithelial cell, airway epithelial cell, mucous cell, goblet cell"
"Endothelial cell, vascular endothelial cell, capillary endothelial cell, angiogenic endothelial cell"
"Epithelial cell, submucosal gland cell, secretory cell, mucous cell"
"Alveolar type I pneumocyte, lung epithelial cell, type I alveolar cell, airway epithelial cell"
"Endothelial cell, lymphatic endothelial cell, vascular endothelial cell, capillary endothelial cell"
"Endothelial cell, vascular endothelial cell, capillary endothelial cell, lymphatic endothelial cell"
"Monocyte, macrophage, B cell, antigen-presenting cell"
"Epithelial cell, ciliated cell, progenitor cell, airway epithelial cell"
"Smooth muscle cell, vascular smooth muscle cell, myocyte, pericyte"
"Mast cell, basophil, myeloid cell, eosinophil"
"Smooth muscle cell, fibroblast, pericyte, mesenchymal cell"
"Monocyte, neutrophil, myeloid cell, macrophage"
"Fibroblast, mesenchymal cell, stellate cell, myofibroblast"
"Neuroendocrine cell, pulmonary neuroendocrine cell, endocrine cell, neuroendocrine-like cell"
"Ionocyte, ciliated cell, epithelial cell, pulmonary ionocyte"
"Endothelial cell, vascular endothelial cell, capillary endothelial cell, hypoxic endothelial cell"
"Monocyte, macrophage, myeloid cell, natural killer cell"
"Mast cell, basophil, eosinophil, myeloid cell"
"Alveolar type II pneumocyte, type II alveolar cell, lung epithelial cell, surfactant-producing cell"
"Plasma cell, B cell, antibody-secreting cell, plasmablast"
"Natural killer cell, cytotoxic T cell, CD8+ T cell, natural killer T cell"
"Lymphatic endothelial cell, endothelial cell, lymphatic vessel cell, capillary endothelial cell"
"Fibroblast, mesenchymal cell, stellate cell, myofibroblast"
"Dendritic cell, macrophage, antigen-presenting cell, monocyte-derived dendritic cell"
"Ciliated cell, airway epithelial cell, epithelial cell, respiratory epithelial cell"
"T cell, CD4+ T cell, naive T cell, helper T cell"
"Monocyte, neutrophil, myeloid cell, macrophage"
"Basal cell, airway basal cell, epithelial cell, progenitor cell"
"B cell, mature B cell, naive B cell, memory B cell"
"Alveolar type I pneumocyte, epithelial cell, type I alveolar cell, lung epithelial cell"
"CD8+ T cell, cytotoxic T cell, T cell, activated T cell"
"Club cell, airway epithelial cell, secretory cell, non-ciliated bronchiolar epithelial cell"
"Macrophage, alveolar macrophage, monocyte, antigen-presenting cell"
"Plasmacytoid dendritic cell, dendritic cell, antigen-presenting cell, pDC"
"Fibroblast, mesenchymal cell, myofibroblast, stellate cell"
"Epithelial cell, airway epithelial cell, goblet cell, serous cell"
"Smooth muscle cell, pericyte, vascular smooth muscle cell, mesenchymal cell"
"Natural killer cell, T cell, cytotoxic T cell, natural killer T cell"
"Platelet, megakaryocyte, thrombocyte, platelet precursor"
"Mesothelial cell, epithelial cell, serous cell, mesenchymal cell"
"Mesothelial cell, epithelial cell, mesenchymal cell, serous cell"
"Endothelial cell, vascular endothelial cell, capillary endothelial cell, hypoxic endothelial cell"
"Endothelial cell, vascular endothelial cell, capillary endothelial cell, activated endothelial cell"
"Serous cell, submucosal gland cell, secretory epithelial cell, airway epithelial cell"
"Smooth muscle cell, vascular smooth muscle cell, pericyte, myocyte"
"Pericyte, vascular smooth muscle cell, mesenchymal cell, fibroblast"
"Endothelial cell, vascular endothelial cell, capillary endothelial cell, activated endothelial cell"
"Club cell, airway epithelial cell, secretory epithelial cell, non-ciliated bronchiolar cell"
"Endothelial cell, vascular endothelial cell, capillary endothelial cell, activated endothelial cell"
"Proliferating cell, dividing cell, cycling cell, mitotic cell"
"Proliferating cell, dividing cell, cycling cell, mitotic cell"
"Endothelial cell, vascular endothelial cell, capillary endothelial cell, activated endothelial cell"
"Astrocytes, Glial cells, Neural stem cells, Oligodendrocytes"
"Endothelial cells, Vascular endothelial cells, Blood-brain barrier endothelial cells, Capillary endothelial cells"
"Cortical excitatory neurons, Pyramidal neurons, Upper layer cortical neurons, Cortical neurons"
"Cortical excitatory neurons, Pyramidal neurons, Neurons, Excitatory neurons"
"Layer 4 cortical neurons, Cortical neurons, Excitatory neurons, Pyramidal neurons"
"GABAergic interneurons, Inhibitory neurons, Cortical interneurons, Neurons"
"Pericytes, Vascular pericytes, Fibroblasts, Mesenchymal cells"
"VIP-expressing interneurons, GABAergic interneurons, Cortical interneurons, Interneurons"
"Oligodendrocyte precursor cells, Oligodendrocytes, Glial progenitor cells, NG2 glia"
"Somatostatin-expressing interneurons, GABAergic interneurons, Cortical interneurons, Neurons"
"Cannabinoid receptor-expressing interneurons, GABAergic interneurons, Cortical interneurons, Neurons"
"Parvalbumin-expressing interneurons, Fast-spiking interneurons, GABAergic interneurons, Cortical interneurons"
"Mature oligodendrocytes, Myelinating oligodendrocytes, Glial cells, Oligodendrocytes"
"Microglia, Brain resident immune cells, Myeloid cells, Macrophages"
"Neurogliaform interneurons, GABAergic interneurons, Cortical interneurons, Neurons"
"Deep layer excitatory neurons, Cortical neurons, Pyramidal neurons, Neurons"
"Neuropeptide Y-expressing interneurons, NOS1-expressing interneurons, GABAergic interneurons, Cortical interneurons"
"Cortical neurons, Neurons, Neural cells, Unknown"
"Developing neurons, Cortical neurons, Excitatory neurons, Neurons"
"Cortical excitatory neurons, Pyramidal neurons, Neurons, Cortical neurons"
"Proliferating natural killer cells, Proliferating T cells, NK T cells, Activated lymphocytes"
"B cells, Naive B cells, Mature B lymphocytes, B-cell precursors"
"Naive B cells, B cells, Mature B lymphocytes, B-cell precursors"
"Plasma cells, IgA-secreting plasma cells, Antibody-secreting cells, Differentiated B cells"
"Cytotoxic CD4+ T cells, Effector CD4+ T cells, Th1 cells, Activated CD4+ T cells"
"Naive CD4+ T cells, Central memory CD4+ T cells, T helper cells, CD4+ T lymphocytes"
"Proliferating lymphocytes, Activated lymphocytes, Cycling cells, Lymphoblasts"
"Effector memory CD8+ T cells, Cytotoxic T cells, CD8+ T cells, NKT cells"
"Regulatory T cells, CD4+ regulatory T cells, Tregs, Suppressor T cells"
"Naive CD8+ T cells, Central memory CD8+ T cells, CD8+ T cells, Cytotoxic T lymphocytes"
"Proliferating CD8+ T cells, Activated CD8+ T cells, Cytotoxic T lymphocytes, CD8+ T cell blasts"
"Naive CD8+ T cells, CD8+ T cells, Cytotoxic T lymphocytes, Memory CD8+ T cells"
"Effector CD8+ T cells, Cytotoxic T cells, Activated CD8+ T cells, CD8+ effector memory T cells"
"Plasmacytoid dendritic cells, pDCs, Interferon-producing cells, Type I interferon-secreting cells"
"Conventional dendritic cells type 1 (cDC1), cDC1 dendritic cells, Cross-presenting dendritic cells, Antigen-presenting cells"
"Conventional dendritic cells type 2 (cDC2), cDC2 dendritic cells, Myeloid dendritic cells, Antigen-presenting cells"
"Plasmacytoid dendritic cells, pDCs, Interferon-producing cells, Type I interferon-secreting cells"
"Classical monocytes, CD14+ monocytes, Inflammatory monocytes, Peripheral monocytes"
"Natural killer T cells, NK-like T cells, Cytotoxic T cells, MAIT cells"
"Gamma delta T cells, γδ T cells, Vδ2 T cells, Cytotoxic γδ T cells"
"Cytotoxic T cells, Natural killer cells, Effector T cells, Activated lymphocytes"
"Platelets, Thrombocytes, Megakaryocyte-derived platelets, Platelet fragments"
"Mast cells, Hematopoietic progenitor cells, Basophils, Myeloid progenitor cells"
"Non-classical monocytes, CD16+ monocytes, Macrophages, Monocytes"
"Hematopoietic stem cells, Hematopoietic progenitor cells, Stem cells, Early progenitors"
"Erythrocytes, Red blood cells, Erythroid cells, Reticulocytes"
"Natural killer cells, Cytotoxic lymphocytes, NK T cells, NK-like T cells"
"Natural killer cells, Cytotoxic NK cells, NK T cells, Cytotoxic lymphocytes"
"Naive CD4+ T cells, T helper cells, Memory CD4+ T cells, CD4+ T lymphocytes"
"Naive B cells, B cells, Mature B lymphocytes, B-cell precursors"
"Pericytes, Vascular pericytes, Microvascular pericytes, Smooth muscle cells"
"Macrophages, Monocytes, Immune cells, Myeloid cells"
"Pancreatic acinar cells, Exocrine pancreas cells, Acinar cells, Digestive enzyme-secreting cells"
"Beta cells, Insulin-producing cells, Pancreatic beta cells, Islet beta cells"
"Alpha cells, Glucagon-secreting cells, Pancreatic alpha cells, Islet alpha cells"
"Delta cells, Somatostatin-secreting cells, Pancreatic delta cells, Islet delta cells"
"Pancreatic ductal cells, Duct cells, Epithelial duct cells, Ductal epithelial cells"
"Epsilon cells, Ghrelin-secreting cells, Pancreatic epsilon cells, Islet epsilon cells"
"Fibroblasts, Pancreatic stellate cells, Mesenchymal cells, Extracellular matrix-producing cells"
"Schwann cells, Glial cells, Peripheral nerve cells, Neural crest-derived cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Blood vessel endothelial cells"
"PP cells, Pancreatic polypeptide-secreting cells, Pancreatic gamma cells, Islet PP cells"
"Dendritic cells, Conventional dendritic cells, Antigen-presenting cells, cDC1 and cDC2 dendritic cells"
"Activated B cells, Germinal center B cells, Centroblasts, Memory B cells"
"T follicular helper cells, Germinal center T helper cells, CD4+ helper T cells, PD-1+ T helper cells"
"Effector memory CD8+ T cells, Cytotoxic T cells, CD8+ effector T cells, CD8+ TEMRA cells"
"Proliferating B cells, Germinal center B cells, Centroblasts, Activated B cells"
"Stromal cells, Resident stromal cells, Structural cells, Supporting cells"
"Proliferating cells, Cycling cells, Cell cycle active cells, Dividing cells"
"T follicular helper cells, Germinal center T helper cells, CD4+ helper T cells, Activated T cells"
"Cytotoxic T cells, Effector T cells, CD8+ T cells, NK T cells"
"Neutrophils, Granulocytes, Polymorphonuclear cells, Myeloid cells"
"Epithelial cells, Basal epithelial cells, Squamous epithelial cells, Keratinocytes"
"Memory B cells, Germinal center B cells, Activated B cells, B lymphocytes"
"Natural killer cells, Innate lymphoid cells, Cytotoxic lymphocytes, NK T cells"
"Mast cells, Basophils, Hematopoietic progenitor cells, Myeloid cells"
"Memory B cells, Tissue-resident B cells, Marginal zone B cells, B lymphocytes"
"Macrophages, Monocytes, Myeloid cells, Phagocytes"
"Naive B cells, Immature B cells, Transitional B cells, B-cell precursors"
"Naive T cells, CD8+ T cells, CD4+ T cells, Resting T lymphocytes"
"Naive CD8+ T cells, CD8+ T cells, Cytotoxic T lymphocytes, Memory T cells"
"Plasma cells, Antibody-secreting cells, Differentiated B cells, Immunoglobulin-producing cells"
"Epithelial cells, Basal epithelial cells, Squamous epithelial cells, Keratinocytes"
"Pro-B cells, Immature B cells, Developing B cells, B-cell precursors"
"Keratinocytes, Epithelial cells, Skin cells, Squamous epithelial cells"
"Natural killer cells, Cytotoxic lymphocytes, NK T cells, Innate lymphoid cells"
